Topic,Words
0,bornholm project jensen say energi area wind land innov municip
1,bornholm offshor wind thor farm thoma energi cabl establish island
2,bornholm thor municip energinet polit beof thoma region administr applic
3,bornholm energi island say also wind municip project busi energiø
4,bornholm offshor cabl busi energi jen press wind need danish
5,wind bornholm offshor turbin energi agenc overpl area consult gigawatt
6,bornholm energi wind electr compani baltic use danish offshor make
7,bornholm energi center offshor compani municip wind island busi cabl
8,og er det jeg på til der vi en har
9,bornholm energi island municip say labor wind citizen architect energinet
