topic_int,topic_names,Source
8,wind turbin,Pro Media
8,wind turbin,Pro Media
0,energi island,Pro Media
8,wind turbin,Pro Media
0,energi island,Pro Media
8,wind turbin,Pro Media
0,energi island,Pro Media
4,baltic sea,Pro Media
0,energi island,Pro Media
3,offshor wind,Pro Media
3,offshor wind,Pro Media
0,energi island,Pro Media
0,energi island,Pro Media
3,offshor wind,Pro Media
0,energi island,Pro Media
5,offshor grid,Pro Media
3,offshor wind,Pro Media
3,offshor wind,Pro Media
8,wind turbin,Pro Media
5,offshor grid,Pro Media
3,offshor wind,Pro Media
0,energi island,Pro Media
0,energi island,Pro Media
4,baltic sea,Pro Media
0,energi island,Pro Media
0,energi island,Pro Media
0,energi island,Pro Media
0,energi island,Pro Media
0,energi island,Pro Media
0,energi island,Pro Media
3,offshor wind,Pro Media
3,offshor wind,Pro Media
0,energi island,Pro Media
3,offshor wind,Pro Media
0,energi island,Pro Media
9,wind farm,Pro Media
0,energi island,Pro Media
3,offshor wind,Pro Media
0,energi island,Pro Media
0,energi island,Pro Media
0,energi island,Pro Media
0,energi island,Pro Media
0,energi island,Pro Media
7,renew energi,Pro Media
3,offshor wind,Pro Media
0,energi island,Pro Media
3,offshor wind,Pro Media
8,wind turbin,Pro Media
3,offshor wind,Pro Media
8,wind turbin,Pro Media
3,offshor wind,Pro Media
8,wind turbin,Pro Media
0,energi island,Pro Media
0,energi island,Pro Media
5,offshor grid,Pro Media
5,offshor grid,Pro Media
0,energi island,Pro Media
8,wind turbin,Pro Media
3,offshor wind,Pro Media
0,energi island,Pro Media
3,offshor wind,Pro Media
3,offshor wind,Pro Media
3,offshor wind,Pro Media
3,offshor wind,Pro Media
3,offshor wind,Pro Media
3,offshor wind,Pro Media
0,energi island,Pro Media
7,renew energi,Pro Media
8,wind turbin,Pro Media
0,energi island,Pro Media
8,wind turbin,Pro Media
3,offshor wind,Pro Media
5,offshor grid,Pro Media
4,baltic sea,Pro Media
9,wind farm,Pro Media
8,wind turbin,Pro Media
3,offshor wind,Pro Media
3,offshor wind,Pro Media
3,offshor wind,Pro Media
6,energiø bornholm,Pro Media
3,offshor wind,Pro Media
3,offshor wind,Pro Media
3,offshor wind,Pro Media
