topic_int,topic_names,Source
4,north sea,Pro Media
4,north sea,Pro Media
5,energiø bornholm,Pro Media
8,wind turbin,Pro Media
5,energiø bornholm,Pro Media
8,wind turbin,Pro Media
4,north sea,Pro Media
5,energiø bornholm,Pro Media
4,north sea,Pro Media
2,renew energi,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
9,abstract avail,Pro Media
2,renew energi,Pro Media
2,renew energi,Pro Media
0,energi island,Pro Media
1,offshor wind,Pro Media
2,renew energi,Pro Media
5,energiø bornholm,Pro Media
5,energiø bornholm,Pro Media
5,energiø bornholm,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
5,energiø bornholm,Pro Media
5,energiø bornholm,Pro Media
2,renew energi,Pro Media
2,renew energi,Pro Media
4,north sea,Pro Media
2,renew energi,Pro Media
5,energiø bornholm,Pro Media
1,offshor wind,Pro Media
5,energiø bornholm,Pro Media
4,north sea,Pro Media
5,energiø bornholm,Pro Media
5,energiø bornholm,Pro Media
0,energi island,Pro Media
4,north sea,Pro Media
8,wind turbin,Pro Media
2,renew energi,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
2,renew energi,Pro Media
5,energiø bornholm,Pro Media
4,north sea,Pro Media
8,wind turbin,Pro Media
4,north sea,Pro Media
8,wind turbin,Pro Media
4,north sea,Pro Media
5,energiø bornholm,Pro Media
1,offshor wind,Pro Media
1,offshor wind,Pro Media
8,wind turbin,Pro Media
8,wind turbin,Pro Media
2,renew energi,Pro Media
5,energiø bornholm,Pro Media
2,renew energi,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
2,renew energi,Pro Media
2,renew energi,Pro Media
8,wind turbin,Pro Media
9,abstract avail,Pro Media
8,wind turbin,Pro Media
4,north sea,Pro Media
8,wind turbin,Pro Media
2,renew energi,Pro Media
1,offshor wind,Pro Media
3,busi park,Pro Media
7,wind farm,Pro Media
8,wind turbin,Pro Media
4,north sea,Pro Media
2,renew energi,Pro Media
2,renew energi,Pro Media
3,busi park,Pro Media
0,energi island,Pro Media
2,renew energi,Pro Media
2,renew energi,Pro Media
1,offshor wind,Pro Media
8,wind turbin,Pro Media
5,energiø bornholm,Pro Media
0,energi island,Pro Media
9,abstract avail,Pro Media
8,wind turbin,Pro Media
9,abstract avail,Pro Media
8,wind turbin,Pro Media
2,renew energi,Pro Media
2,renew energi,Pro Media
4,north sea,Pro Media
2,renew energi,Pro Media
1,offshor wind,Pro Media
2,renew energi,Pro Media
3,busi park,Pro Media
5,energiø bornholm,Pro Media
3,busi park,Pro Media
4,north sea,Pro Media
2,renew energi,Pro Media
1,offshor wind,Pro Media
0,energi island,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
5,energiø bornholm,Pro Media
8,wind turbin,Pro Media
4,north sea,Pro Media
1,offshor wind,Pro Media
5,energiø bornholm,Pro Media
5,energiø bornholm,Pro Media
0,energi island,Pro Media
9,abstract avail,Pro Media
0,energi island,Pro Media
9,abstract avail,Pro Media
2,renew energi,Pro Media
1,offshor wind,Pro Media
8,wind turbin,Pro Media
8,wind turbin,Pro Media
1,offshor wind,Pro Media
8,wind turbin,Pro Media
5,energiø bornholm,Pro Media
8,wind turbin,Pro Media
2,renew energi,Pro Media
2,renew energi,Pro Media
5,energiø bornholm,Pro Media
4,north sea,Pro Media
9,abstract avail,Pro Media
0,energi island,Pro Media
8,wind turbin,Pro Media
7,wind farm,Pro Media
4,north sea,Pro Media
0,energi island,Pro Media
4,north sea,Pro Media
2,renew energi,Pro Media
4,north sea,Pro Media
1,offshor wind,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
1,offshor wind,Pro Media
4,north sea,Pro Media
8,wind turbin,Pro Media
4,north sea,Pro Media
8,wind turbin,Pro Media
5,energiø bornholm,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
8,wind turbin,Pro Media
3,busi park,Pro Media
8,wind turbin,Pro Media
2,renew energi,Pro Media
5,energiø bornholm,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
5,energiø bornholm,Pro Media
5,energiø bornholm,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
9,abstract avail,Pro Media
5,energiø bornholm,Pro Media
8,wind turbin,Pro Media
4,north sea,Pro Media
2,renew energi,Pro Media
8,wind turbin,Pro Media
4,north sea,Pro Media
2,renew energi,Pro Media
8,wind turbin,Pro Media
2,renew energi,Pro Media
2,renew energi,Pro Media
5,energiø bornholm,Pro Media
4,north sea,Pro Media
1,offshor wind,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
2,renew energi,Pro Media
1,offshor wind,Pro Media
6,municip council,Pro Media
5,energiø bornholm,Pro Media
5,energiø bornholm,Pro Media
2,renew energi,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
3,busi park,Reg Media
6,municip council,Reg Media
1,offshor wind,Reg Media
3,busi park,Reg Media
3,busi park,Reg Media
8,wind turbin,Reg Media
5,energiø bornholm,Reg Media
5,energiø bornholm,Reg Media
4,north sea,Reg Media
4,north sea,Reg Media
4,north sea,Reg Media
8,wind turbin,Reg Media
8,wind turbin,Reg Media
3,busi park,Reg Media
5,energiø bornholm,Reg Media
5,energiø bornholm,Reg Media
5,energiø bornholm,Reg Media
0,energi island,Reg Media
8,wind turbin,Reg Media
8,wind turbin,Reg Media
5,energiø bornholm,Reg Media
3,busi park,Reg Media
8,wind turbin,Reg Media
8,wind turbin,Reg Media
3,busi park,Reg Media
2,renew energi,Reg Media
6,municip council,Reg Media
5,energiø bornholm,Reg Media
3,busi park,Reg Media
8,wind turbin,Reg Media
3,busi park,Reg Media
5,energiø bornholm,Reg Media
3,busi park,Reg Media
8,wind turbin,Reg Media
8,wind turbin,Reg Media
8,wind turbin,Reg Media
8,wind turbin,Reg Media
6,municip council,Reg Media
5,energiø bornholm,Reg Media
8,wind turbin,Reg Media
3,busi park,Reg Media
3,busi park,Reg Media
5,energiø bornholm,Reg Media
8,wind turbin,Reg Media
3,busi park,Reg Media
8,wind turbin,Reg Media
5,energiø bornholm,Reg Media
4,north sea,Reg Media
5,energiø bornholm,Reg Media
3,busi park,Reg Media
0,energi island,Reg Media
1,offshor wind,Reg Media
3,busi park,Reg Media
5,energiø bornholm,Reg Media
3,busi park,Reg Media
3,busi park,Reg Media
4,north sea,Reg Media
0,energi island,Reg Media
3,busi park,Reg Media
3,busi park,Reg Media
8,wind turbin,Reg Media
9,abstract avail,Reg Media
3,busi park,Reg Media
5,energiø bornholm,Reg Media
8,wind turbin,Reg Media
6,municip council,Reg Media
8,wind turbin,Reg Media
3,busi park,Reg Media
6,municip council,Reg Media
8,wind turbin,Reg Media
2,renew energi,Reg Media
3,busi park,Reg Media
3,busi park,Reg Media
5,energiø bornholm,Reg Media
8,wind turbin,Reg Media
0,energi island,Reg Media
3,busi park,Reg Media
0,energi island,Reg Media
6,municip council,Reg Media
5,energiø bornholm,Reg Media
8,wind turbin,Reg Media
3,busi park,Reg Media
0,energi island,Reg Media
8,wind turbin,Reg Media
8,wind turbin,Reg Media
0,energi island,Reg Media
8,wind turbin,Reg Media
3,busi park,Reg Media
8,wind turbin,Reg Media
0,energi island,Reg Media
0,energi island,Reg Media
5,energiø bornholm,Reg Media
0,energi island,Reg Media
0,energi island,Reg Media
8,wind turbin,Reg Media
0,energi island,Reg Media
5,energiø bornholm,Reg Media
0,energi island,Reg Media
8,wind turbin,Reg Media
5,energiø bornholm,Reg Media
3,busi park,Reg Media
0,energi island,Reg Media
3,busi park,Reg Media
8,wind turbin,Reg Media
3,busi park,Reg Media
0,energi island,Reg Media
0,energi island,Reg Media
1,offshor wind,Reg Media
5,energiø bornholm,Reg Media
9,abstract avail,Reg Media
0,energi island,Reg Media
5,energiø bornholm,Reg Media
8,wind turbin,Reg Media
3,busi park,Reg Media
5,energiø bornholm,Reg Media
6,municip council,Reg Media
8,wind turbin,Reg Media
0,energi island,Reg Media
8,wind turbin,Reg Media
5,energiø bornholm,Reg Media
6,municip council,Reg Media
8,wind turbin,Reg Media
8,wind turbin,Reg Media
6,municip council,Reg Media
5,energiø bornholm,Reg Media
0,energi island,Reg Media
8,wind turbin,Reg Media
2,renew energi,Reg Media
5,energiø bornholm,Reg Media
0,energi island,Reg Media
0,energi island,Reg Media
6,municip council,Reg Media
3,busi park,Reg Media
4,north sea,Reg Media
5,energiø bornholm,Reg Media
6,municip council,Reg Media
0,energi island,Reg Media
2,renew energi,Reg Media
0,energi island,Reg Media
6,municip council,Reg Media
3,busi park,Reg Media
8,wind turbin,Reg Media
4,north sea,Reg Media
3,busi park,Reg Media
4,north sea,Reg Media
1,offshor wind,Reg Media
8,wind turbin,Reg Media
3,busi park,Reg Media
3,busi park,Reg Media
0,energi island,Reg Media
8,wind turbin,Reg Media
8,wind turbin,Reg Media
5,energiø bornholm,Reg Media
6,municip council,Reg Media
5,energiø bornholm,Reg Media
0,energi island,Reg Media
5,energiø bornholm,Reg Media
