topic_int,topic_names,Source
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
2,wind turbin,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
8,north sea,Pro Media
4,wind farm,Pro Media
4,wind farm,Pro Media
4,wind farm,Pro Media
4,wind farm,Pro Media
4,wind farm,Pro Media
4,wind farm,Pro Media
4,wind farm,Pro Media
4,wind farm,Pro Media
4,wind farm,Pro Media
4,wind farm,Pro Media
4,wind farm,Pro Media
4,wind farm,Pro Media
4,wind farm,Pro Media
4,wind farm,Pro Media
4,wind farm,Pro Media
4,wind farm,Pro Media
4,wind farm,Pro Media
4,wind farm,Pro Media
4,wind farm,Pro Media
4,wind farm,Pro Media
4,wind farm,Pro Media
4,wind farm,Pro Media
4,wind farm,Pro Media
4,wind farm,Pro Media
4,wind farm,Pro Media
4,wind farm,Pro Media
