Topic,Words
0,center data cool server underwat microsoft energi say materi ptx
1,co2 climat 2030 green reduct million tonn heat emiss govern
2,og til af på en med er det der danmark
3,project bornholm billion energiø state dkk ministri energi island govern
4,hydrogen fuel electrolysi ptx product pipe green produc use ga
5,electr connect grid cabl consumpt energi energinet new power kv
6,wind offshor turbin gw energi farm park area 2030 power
7,energinet area studi environment sea protect seab hann feasibl storm
8,labor engin skill pedersen educ peopl morten project say compani
9,island energi platform sea north wind solut gw offshor connect
