Topic,Words
0,bornholm busi green compani island energi baltic center opportun new
1,control hvdc convert voltag grid dc power frequenc ac stabil
2,municip social council democraci say parti budget mayor year list
3,wind offshor farm turbin gw sea energi power danish park
4,energinet plant area land station bornholm consult citizen plan environment
5,avail concept hvdc structur scheme data sourc reliabl convers product
6,hydrogen heat fuel product power green co2 electrolysi produc ptx
7,project energi island billion climat say agreement electr dkk danish
8,energi island renew storag model sourc gener studi optim electr
9,grid offshor transmiss integr power develop cost paper north connect
