topic_int,topic_names,Source
8,offshor wind farm,Pro Media
8,offshor wind farm,Pro Media
4,north sea,Pro Media
6,wind turbin,Pro Media
4,north sea,Pro Media
8,offshor wind farm,Pro Media
6,wind turbin,Pro Media
4,north sea,Pro Media
6,wind turbin,Pro Media
6,wind turbin,Pro Media
6,wind turbin,Pro Media
6,wind turbin,Pro Media
6,wind turbin,Pro Media
6,wind turbin,Pro Media
6,wind turbin,Pro Media
7,wind farm,Pro Media
6,wind turbin,Pro Media
6,wind turbin,Pro Media
6,wind turbin,Pro Media
3,offshor wind,Pro Media
9,renew energi,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
6,wind turbin,Pro Media
6,wind turbin,Pro Media
6,wind turbin,Pro Media
6,wind turbin,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
9,renew energi,Pro Media
6,wind turbin,Pro Media
6,wind turbin,Pro Media
6,wind turbin,Pro Media
4,north sea,Pro Media
3,offshor wind,Pro Media
4,north sea,Pro Media
6,wind turbin,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
6,wind turbin,Pro Media
8,offshor wind farm,Pro Media
9,renew energi,Pro Media
9,renew energi,Pro Media
4,north sea,Pro Media
6,wind turbin,Pro Media
4,north sea,Pro Media
6,wind turbin,Pro Media
8,offshor wind farm,Pro Media
9,renew energi,Pro Media
8,offshor wind farm,Pro Media
4,north sea,Pro Media
4,north sea,Pro Media
3,offshor wind,Pro Media
3,offshor wind,Pro Media
8,offshor wind farm,Pro Media
8,offshor wind farm,Pro Media
6,wind turbin,Pro Media
4,north sea,Pro Media
6,wind turbin,Pro Media
6,wind turbin,Pro Media
6,wind turbin,Pro Media
6,wind turbin,Pro Media
6,wind turbin,Pro Media
6,wind turbin,Pro Media
8,offshor wind farm,Pro Media
1,abstract avail,Pro Media
6,wind turbin,Pro Media
8,offshor wind farm,Pro Media
8,offshor wind farm,Pro Media
1,abstract avail,Pro Media
3,offshor wind,Pro Media
2,energiø bornholm,Pro Media
7,wind farm,Pro Media
8,offshor wind farm,Pro Media
9,renew energi,Pro Media
6,wind turbin,Pro Media
6,wind turbin,Pro Media
2,energiø bornholm,Pro Media
6,wind turbin,Pro Media
6,wind turbin,Pro Media
6,wind turbin,Pro Media
3,offshor wind,Pro Media
8,offshor wind farm,Pro Media
8,offshor wind farm,Pro Media
6,wind turbin,Pro Media
1,abstract avail,Pro Media
8,offshor wind farm,Pro Media
1,abstract avail,Pro Media
8,offshor wind farm,Pro Media
9,renew energi,Pro Media
9,renew energi,Pro Media
6,wind turbin,Pro Media
9,renew energi,Pro Media
3,offshor wind,Pro Media
9,renew energi,Pro Media
