Source,cluster
Pro Media,3
Pro Media,9
Pro Media,1
Pro Media,0
Pro Media,1
Pro Media,11
Pro Media,7
Pro Media,-1
Pro Media,3
Pro Media,8
Pro Media,2
Pro Media,11
Pro Media,2
Pro Media,3
Pro Media,9
Pro Media,-1
Pro Media,7
Pro Media,0
Pro Media,1
Pro Media,0
Pro Media,11
Pro Media,14
Pro Media,1
Pro Media,9
Pro Media,7
Pro Media,7
Pro Media,11
Pro Media,1
Pro Media,11
Pro Media,5
Pro Media,-1
Pro Media,3
Pro Media,14
Pro Media,7
Pro Media,11
Pro Media,11
Pro Media,11
Pro Media,14
Pro Media,13
Pro Media,5
Pro Media,-1
Pro Media,-1
Pro Media,2
Pro Media,-1
Pro Media,11
Pro Media,11
Pro Media,-1
Pro Media,2
Pro Media,-1
Pro Media,11
Pro Media,14
Pro Media,4
Pro Media,0
Pro Media,-1
Pro Media,-1
Pro Media,11
Pro Media,9
Pro Media,2
Pro Media,11
Pro Media,11
Pro Media,11
Pro Media,11
Pro Media,5
Pro Media,11
Pro Media,3
Pro Media,-1
Pro Media,0
Pro Media,-1
Pro Media,0
Pro Media,5
Pro Media,0
Pro Media,11
Pro Media,11
Pro Media,10
Pro Media,10
Pro Media,14
Pro Media,11
Pro Media,0
Pro Media,2
Pro Media,2
Pro Media,12
Pro Media,0
Pro Media,1
Pro Media,3
Pro Media,2
Pro Media,0
Pro Media,-1
Pro Media,7
Pro Media,0
Pro Media,5
Pro Media,11
Pro Media,1
Pro Media,11
Pro Media,11
Pro Media,2
Pro Media,7
Pro Media,12
Pro Media,-1
Pro Media,3
Pro Media,11
Pro Media,11
Pro Media,7
Pro Media,0
Pro Media,8
Pro Media,11
Pro Media,-1
Pro Media,12
Pro Media,8
Pro Media,11
Pro Media,-1
Pro Media,1
Pro Media,-1
Pro Media,2
Pro Media,1
Pro Media,13
Pro Media,7
Pro Media,3
Pro Media,9
Pro Media,11
Pro Media,0
Pro Media,7
Pro Media,10
Pro Media,7
Pro Media,10
Pro Media,2
Pro Media,10
Pro Media,11
Pro Media,0
Pro Media,-1
Pro Media,0
Pro Media,1
Pro Media,11
Pro Media,2
Pro Media,2
Pro Media,1
Pro Media,11
Pro Media,2
Pro Media,2
Pro Media,11
Pro Media,11
Pro Media,11
Pro Media,-1
Pro Media,7
Pro Media,12
Pro Media,7
Pro Media,10
Pro Media,2
Pro Media,10
Pro Media,14
Pro Media,3
Pro Media,14
Pro Media,11
Pro Media,2
Pro Media,11
Pro Media,7
Pro Media,12
Pro Media,11
Pro Media,11
Pro Media,0
Pro Media,0
Pro Media,5
Pro Media,-1
Pro Media,0
Pro Media,5
Pro Media,-1
Pro Media,11
Pro Media,7
Pro Media,-1
Pro Media,0
Pro Media,-1
Pro Media,-1
Pro Media,7
Pro Media,3
Pro Media,11
Pro Media,1
Reg Media,12
Reg Media,10
Reg Media,7
Reg Media,10
Reg Media,10
Reg Media,-1
Reg Media,4
Reg Media,14
Reg Media,-1
Reg Media,2
Reg Media,3
Reg Media,11
Reg Media,10
Reg Media,12
Reg Media,14
Reg Media,10
Reg Media,11
Reg Media,11
Reg Media,6
Reg Media,5
Reg Media,8
Reg Media,11
Reg Media,10
Reg Media,0
Reg Media,10
Reg Media,12
Reg Media,-1
Reg Media,11
Reg Media,5
Reg Media,6
Reg Media,4
Reg Media,3
Reg Media,11
Reg Media,7
Reg Media,7
Reg Media,7
Reg Media,9
Reg Media,11
Reg Media,12
Reg Media,12
Reg Media,4
Reg Media,11
Reg Media,10
Reg Media,3
Reg Media,1
Reg Media,14
Reg Media,12
Reg Media,10
Reg Media,1
Reg Media,4
Reg Media,12
Reg Media,4
Reg Media,10
Reg Media,9
Reg Media,12
Reg Media,10
Reg Media,10
Reg Media,9
Reg Media,3
Reg Media,12
Reg Media,13
Reg Media,-1
Reg Media,13
Reg Media,2
Reg Media,12
Reg Media,10
Reg Media,-1
Reg Media,2
Reg Media,5
Reg Media,10
Reg Media,9
Reg Media,9
Reg Media,-1
Reg Media,12
Reg Media,5
Reg Media,7
Reg Media,4
Reg Media,8
Reg Media,-1
Reg Media,11
Reg Media,12
Reg Media,4
Reg Media,-1
Reg Media,3
Reg Media,-1
Reg Media,10
Reg Media,-1
Reg Media,12
Reg Media,12
Reg Media,9
Reg Media,8
Reg Media,7
Reg Media,7
Reg Media,7
Reg Media,9
Reg Media,12
Reg Media,11
Reg Media,14
Reg Media,10
Reg Media,8
Reg Media,8
Reg Media,8
Reg Media,-1
Reg Media,-1
Reg Media,-1
Reg Media,7
Reg Media,12
Reg Media,14
Reg Media,10
Reg Media,7
Reg Media,10
Reg Media,-1
Reg Media,-1
Reg Media,12
Reg Media,9
Reg Media,9
Reg Media,12
Reg Media,8
Reg Media,-1
Reg Media,-1
Reg Media,-1
Reg Media,10
Reg Media,-1
Reg Media,-1
Reg Media,-1
Reg Media,7
Reg Media,9
Reg Media,10
Reg Media,-1
Reg Media,-1
Reg Media,8
Reg Media,10
Reg Media,10
Reg Media,9
Reg Media,9
Reg Media,12
Reg Media,-1
Reg Media,14
Reg Media,9
Reg Media,10
Reg Media,10
Reg Media,9
Reg Media,4
Reg Media,7
Reg Media,1
Reg Media,6
Reg Media,4
Reg Media,12
Reg Media,10
Reg Media,6
Reg Media,1
Reg Media,1
Reg Media,12
Reg Media,6
Reg Media,11
Reg Media,11
Reg Media,11
Reg Media,10
Reg Media,10
Reg Media,12
Reg Media,8
Reg Media,4
Reg Media,6
Reg Media,-1
Reg Media,9
Reg Media,10
Reg Media,10
Reg Media,7
Reg Media,6
Reg Media,6
Reg Media,6
Reg Media,10
Reg Media,0
Reg Media,4
Reg Media,11
Reg Media,10
Reg Media,12
Reg Media,10
Reg Media,-1
Reg Media,10
Reg Media,12
Reg Media,4
Reg Media,7
Reg Media,2
Reg Media,7
Reg Media,10
Reg Media,10
Reg Media,11
Reg Media,10
Reg Media,12
Reg Media,10
Reg Media,0
Reg Media,10
Reg Media,12
Reg Media,12
Reg Media,8
Reg Media,8
