topic_int,topic_names,Source
3,wind turbin,Pro Media
3,wind turbin,Pro Media
2,electr grid,Pro Media
3,wind turbin,Pro Media
3,wind turbin,Pro Media
3,wind turbin,Pro Media
2,electr grid,Pro Media
3,wind turbin,Pro Media
2,electr grid,Pro Media
2,electr grid,Pro Media
2,electr grid,Pro Media
3,wind turbin,Pro Media
2,electr grid,Pro Media
3,wind turbin,Pro Media
3,wind turbin,Pro Media
2,electr grid,Pro Media
2,electr grid,Pro Media
2,electr grid,Pro Media
2,electr grid,Pro Media
3,wind turbin,Pro Media
6,energiø bornholm,Pro Media
3,wind turbin,Pro Media
3,wind turbin,Pro Media
3,wind turbin,Pro Media
3,wind turbin,Pro Media
3,wind turbin,Pro Media
3,wind turbin,Pro Media
3,wind turbin,Pro Media
3,wind turbin,Pro Media
3,wind turbin,Pro Media
6,energiø bornholm,Pro Media
2,electr grid,Pro Media
2,electr grid,Pro Media
2,electr grid,Pro Media
2,electr grid,Pro Media
2,electr grid,Pro Media
3,wind turbin,Pro Media
7,renew energi,Pro Media
2,electr grid,Pro Media
2,electr grid,Pro Media
6,energiø bornholm,Pro Media
9,baltic sea,Pro Media
3,wind turbin,Pro Media
2,electr grid,Pro Media
2,electr grid,Pro Media
2,electr grid,Pro Media
2,electr grid,Pro Media
3,wind turbin,Pro Media
2,electr grid,Pro Media
3,wind turbin,Pro Media
2,electr grid,Pro Media
3,wind turbin,Pro Media
6,energiø bornholm,Pro Media
2,electr grid,Pro Media
9,baltic sea,Pro Media
2,electr grid,Pro Media
6,energiø bornholm,Pro Media
3,wind turbin,Pro Media
2,electr grid,Pro Media
3,wind turbin,Pro Media
2,electr grid,Pro Media
2,electr grid,Pro Media
2,electr grid,Pro Media
2,electr grid,Pro Media
2,electr grid,Pro Media
2,electr grid,Pro Media
2,electr grid,Pro Media
2,electr grid,Pro Media
2,electr grid,Pro Media
2,electr grid,Pro Media
3,wind turbin,Pro Media
6,energiø bornholm,Pro Media
3,wind turbin,Pro Media
3,wind turbin,Pro Media
6,energiø bornholm,Pro Media
3,wind turbin,Pro Media
2,electr grid,Pro Media
