topic_int,topic_names,Source
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
6,wind turbin,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
9,abstract avail,Pro Media
0,offshor wind,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
9,abstract avail,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
5,energiø bornholm,Pro Media
2,renew energi,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
0,offshor wind,Pro Media
5,energiø bornholm,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
6,wind turbin,Pro Media
3,energi island,Pro Media
0,offshor wind,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
6,wind turbin,Pro Media
3,energi island,Pro Media
5,energiø bornholm,Pro Media
3,energi island,Pro Media
6,wind turbin,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
6,wind turbin,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
5,energiø bornholm,Pro Media
9,abstract avail,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
6,wind turbin,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
4,social democraci,Pro Media
5,energiø bornholm,Pro Media
0,offshor wind,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
6,wind turbin,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
5,energiø bornholm,Pro Media
3,energi island,Pro Media
3,energi island,Pro Media
8,municip council,Pro Media
8,municip council,Pro Media
3,energi island,Pro Media
