Topic,Words
Topic 0,energiø co2 projek kan datacent øen dør kom ved lauritz
Topic 1,opfyld energiø kron milliard nordsø statsstøt kabel klimamål strøm innovation
Topic 2,grøn co2 brint kan så green belgisk ton verd strøm
Topic 3,transformerstation energiø bornholm ptx undersøg kan voks byg eu infrastruktur
Topic 4,politik kan så led mer grøn nem problem omstilling 000
Topic 5,gw bornholm danmark aftal projek så tid tyskland kron kan
Topic 6,la så ordning ansøgning rigt projek ving lektor investor privat
Topic 7,kan så energiø gw 2030 danmark kom dansk land projek
Topic 8,mort tidsplan peders teknisk kom ørsted mer havn led varm
Topic 9,kan energiø så nordsø udbud bornholm kom gw projek ptx
